time,latitude,longitude,depth,magnitude,place
1665961680510,14.8239,42.4381,10.0,4.4,"55 km W of Al ?udaydah, Yemen"
1657534629681,12.1575,46.9584,10.0,4.6,"174 km NW of Las Khorey, Somalia"
1648996977179,5.708,36.8607,10.0,4.3,"24 km ENE of Jinka, Ethiopia"
1648733675763,12.5298,47.3867,10.0,4.3,"175 km NNW of Las Khorey, Somalia"
1646769102187,10.1608,41.5797,10.0,4.3,"70 km NNW of Dire Dawa, Ethiopia"
1643460452071,4.7496,35.4166,10.0,4.5,"76 km W of Lobuni, Ethiopia"
1635294958270,10.4691,41.519,10.0,4.4,"101 km ENE of Gewan?, Ethiopia"
1635085583246,10.1505,41.4644,10.0,4.6,Ethiopia
1634595692032,10.1039,41.5128,10.0,4.5,"68 km NW of Dire Dawa, Ethiopia"
1634319745058,9.9993,41.614,8.66,4.5,"52 km NNW of Dire Dawa, Ethiopia"
1624015745834,12.4004,47.326,10.0,4.5,"166 km NW of Las Khorey, Somalia"
1621059214513,9.1826,39.6144,10.0,4.0,"45 km NW of Metah?ra, Ethiopia"
1619153687872,9.4032,42.0914,10.0,4.2,"10 km NNW of Harar, Ethiopia"
1598909963073,11.5438,43.9174,10.0,4.4,"73 km E of Loyada, Djibouti"
1591542720543,12.7132,47.6592,10.0,4.6,"181 km NNW of Las Khorey, Somalia"
1579490399176,10.5658,39.8762,10.0,4.5,"16 km S of Kemis?, Ethiopia"
1567755829367,12.2878,47.2806,10.0,4.5,"159 km NW of Las Khorey, Somalia"
1561904792307,13.4093,40.6697,9.97,4.5,"124 km WSW of Edd, Eritrea"
1558092218539,11.9015,46.0336,10.0,4.6,"145 km SE of Aden, Yemen"
1558018504015,11.7188,46.5794,10.0,4.4,"149 km NW of Ceerigaabo, Somalia"
1557922260413,12.1472,46.162,10.0,5.1,"137 km SE of Zinjib?r, Yemen"
1523836787500,12.1749,46.4446,10.0,4.4,"156 km SE of Zinjib?r, Yemen"
1521887252230,13.4048,40.0116,10.0,5.2,"58 km E of Mek'ele, Ethiopia"
1515497167340,11.3467,46.0842,10.0,4.4,"154 km NE of Berbera, Somalia"
1507922329640,12.3491,47.2411,10.0,4.2,"167 km NW of Las Khorey, Somalia"
1507921617650,12.3419,47.2358,10.0,4.3,"167 km NW of Las Khorey, Somalia"
1507915330140,12.3105,47.2538,10.0,4.4,"163 km NW of Las Khorey, Somalia"
1504756221960,12.0504,46.1149,10.0,4.9,"142 km SE of Aden, Yemen"
